VibhagNo,Place
1,ઘાંસવાલા હાઈસ્કૂલ ઝકરિયા મસ્જિદ પાછળ આણંદ
2,ઘાંસવાલા હાઈસ્કૂલ ઝકરિયા મસ્જિદ પાછળ આણંદ
3,ઘાંસવાલા હાઈસ્કૂલ ઝકરિયા મસ્જિદ પાછળ આણંદ
4,ઘાંસવાલા હાઈસ્કૂલ ઝકરિયા મસ્જિદ પાછળ આણંદ
5,આલ્ફા મિશન સ્કૂલ સલાટીયા રોડ આણંદ
6,રોયલપ્લાઝા શાળા નં. 25 ધોરણ-4 આણંદ
7,હબીબભાઈ લિબુંવાલા બાલવાડી જૂની પાણીની ટાંકી સામે આણંદ
8,હબીબભાઈ લિબુંવાલા બાલવાડી જૂની પાણીની ટાંકી સામે આણંદ
9,રોયલપ્લાઝા શાળા નં. 25 આણંદ
10,રોયલપ્લાઝા શાળા નં. 25 નવી બિલ્ડિંગ બધીર બાલ મંદિર આણંદ
11,રોયલપ્લાઝા શાળા નં. 25 બાલવાટિકા આણંદ
12,રોયલપ્લાઝા શાળા નં. 25 બાલ વાટિકા આણંદ
13,અલાના પ્રાથમિક શાળા મેમણ કોલોની પાસે બાલવાટિકા આણંદ
14,માણેજવાલા સ્કૂલ આણંદ
15,માણેજવાલા સ્કૂલ આણંદ
16,માણેજવાલા સ્કૂલ આણંદ
17,ચરોતર મિલ્લત ઇંગ્લિશ મિડિયમ હાઈસ્કૂલ આણંદ
18,ચરોતર મિલ્લત ઇંગ્લિશ મિડિયમ હાઈસ્કૂલ આણંદ
19,અલાના પ્રાથમિક શાળા મેમણ કોલોની પાસે આણંદ
20,આલ્ફા મિશન સ્કૂલ સલાટીયા રોડ આણંદ
